Date,Open,High,Low,Close,Adj Close,Volume
2010-05-24,17721600.000000,18753600.000000,17289600.000000,18744000.000000,16484174.000000,0
2010-05-25,19550400.000000,20880000.000000,18340800.000000,18360000.000000,16146470.000000,0
2010-05-26,17448000.000000,18547200.000000,16684800.000000,18446400.000000,16222455.000000,0
2010-05-27,17155200.000000,17155200.000000,15628800.000000,15638400.000000,13752996.000000,0
2010-05-28,15748800.000000,16948800.000000,15638400.000000,16368000.000000,14394631.000000,0
2010-06-01,16934400.000000,17500800.000000,15993600.000000,17462400.000000,15357087.000000,0
2010-06-02,17088000.000000,17323200.000000,15585600.000000,15600000.000000,13719224.000000,0
2010-06-03,15561600.000000,15772800.000000,14899200.000000,15024000.000000,13212669.000000,0
2010-06-04,16156800.000000,17136000.000000,15350400.000000,16987200.000000,14939180.000000,0
2010-06-07,16588800.000000,18974400.000000,16464000.000000,18835200.000000,16564380.000000,0
2010-06-08,17601600.000000,20457600.000000,17601600.000000,19046400.000000,16750117.000000,0
2010-06-09,18283200.000000,19689600.000000,17366400.000000,19464000.000000,17117368.000000,0
2010-06-10,18403200.000000,18921600.000000,17212800.000000,17270400.000000,15188234.000000,0
2010-06-11,18004800.000000,18004800.000000,16454400.000000,16531200.000000,14538156.000000,0
2010-06-14,15907200.000000,16243200.000000,15288000.000000,16185600.000000,14234222.000000,0
2010-06-15,15840000.000000,15840000.000000,13392000.000000,13521600.000000,11891400.000000,0
2010-06-16,13924800.000000,14140800.000000,13012800.000000,13320000.000000,11714105.000000,0
2010-06-17,13176000.000000,14073600.000000,13056000.000000,13411200.000000,11794313.000000,0
2010-06-18,13497600.000000,13680000.000000,13137600.000000,13507200.000000,11878738.000000,0
2010-06-21,13920000.000000,14083200.000000,12475200.000000,13838400.000000,12170005.000000,0
2010-06-22,13804800.000000,14697600.000000,13243200.000000,14577600.000000,12820087.000000,0
2010-06-23,14400000.000000,15216000.000000,13881600.000000,14424000.000000,12685005.000000,0
2010-06-24,14788800.000000,15854400.000000,14563200.000000,15729600.000000,13833197.000000,0
2010-06-25,15388800.000000,16526400.000000,15384000.000000,15700800.000000,13807872.000000,0
2010-06-28,15547200.000000,15969600.000000,14952000.000000,15456000.000000,13592586.000000,0
2010-06-29,16320000.000000,17836800.000000,16320000.000000,17524800.000000,15411968.000000,0
2010-06-30,17640000.000000,18494400.000000,16881600.000000,18388800.000000,16171801.000000,0
2010-07-01,18230400.000000,19790400.000000,17803200.000000,18297600.000000,16091596.000000,0
2010-07-02,17750400.000000,19387200.000000,17750400.000000,18523200.000000,16289996.000000,0
2010-07-06,17452800.000000,18945600.000000,17054400.000000,18552000.000000,16315323.000000,0
2010-07-07,18350400.000000,18374400.000000,15633600.000000,15715200.000000,13820535.000000,0
2010-07-08,15096000.000000,16468800.000000,15096000.000000,15729600.000000,13833197.000000,0
2010-07-09,15753600.000000,16012800.000000,15153600.000000,15182400.000000,13351971.000000,0
2010-07-12,15144000.000000,15220800.000000,14524800.000000,14688000.000000,12917177.000000,0
2010-07-13,14140800.000000,14404800.000000,13555200.000000,13800000.000000,12136236.000000,0
2010-07-14,13276800.000000,14083200.000000,12955200.000000,13862400.000000,12191115.000000,0
2010-07-15,13905600.000000,14740800.000000,13876800.000000,13958400.000000,12275539.000000,0
2010-07-16,14342400.000000,15331200.000000,14188800.000000,15302400.000000,13457502.000000,0
2010-07-19,15081600.000000,15172800.000000,14112000.000000,14193600.000000,12482383.000000,0
2010-07-20,15360000.000000,15700800.000000,14116800.000000,14126400.000000,12423285.000000,0
2010-07-21,13843200.000000,15072000.000000,13843200.000000,14971200.000000,13166234.000000,0
2010-07-22,14390400.000000,14563200.000000,13267200.000000,13526400.000000,11895621.000000,0
2010-07-23,13852800.000000,14068800.000000,13228800.000000,13324800.000000,11718327.000000,0
2010-07-26,13161600.000000,13660800.000000,12758400.000000,12787200.000000,11245543.000000,0
2010-07-27,12696000.000000,13233600.000000,12595200.000000,13099200.000000,11519928.000000,0
2010-07-28,13084800.000000,13958400.000000,12955200.000000,13776000.000000,12115130.000000,0
2010-07-29,13771200.000000,15120000.000000,13598400.000000,14572800.000000,12815864.000000,0
2010-07-30,15072000.000000,15820800.000000,14774400.000000,15024000.000000,13212669.000000,0
2010-08-02,14265600.000000,14851200.000000,14078400.000000,14275200.000000,12554145.000000,0
2010-08-03,14280000.000000,15038400.000000,14260800.000000,14692800.000000,12921396.000000,0
2010-08-04,14563200.000000,15033600.000000,14208000.000000,14260800.000000,12541483.000000,0
2010-08-05,14400000.000000,14712000.000000,14126400.000000,14510400.000000,12760990.000000,0
2010-08-06,14985600.000000,15355200.000000,14241600.000000,14596800.000000,12836972.000000,0
2010-08-09,14227200.000000,14745600.000000,14140800.000000,14318400.000000,12592136.000000,0
2010-08-10,14990400.000000,15816000.000000,14990400.000000,15408000.000000,13550373.000000,0
2010-08-11,16406400.000000,17673600.000000,16406400.000000,17318400.000000,15230451.000000,0
2010-08-12,18470400.000000,19080000.000000,17716800.000000,17971200.000000,15804547.000000,0
2010-08-13,17817600.000000,18504000.000000,17380800.000000,18489600.000000,16260446.000000,0
2010-08-16,18676800.000000,19113600.000000,17764800.000000,18244800.000000,16045160.000000,0
2010-08-17,17707200.000000,17980800.000000,16982400.000000,17563200.000000,15445735.000000,0
2010-08-18,17505600.000000,17769600.000000,16699200.000000,16958400.000000,14913852.000000,0
2010-08-19,17227200.000000,18048000.000000,16896000.000000,17817600.000000,15669463.000000,0
2010-08-20,17678400.000000,17976000.000000,17145600.000000,17616000.000000,15492171.000000,0
2010-08-23,17366400.000000,18283200.000000,17102400.000000,18244800.000000,16045160.000000,0
2010-08-24,19003200.000000,19521600.000000,18561600.000000,19137600.000000,16830322.000000,0
2010-08-25,19819200.000000,20136000.000000,18345600.000000,18576000.000000,16336431.000000,0
2010-08-26,18268800.000000,19843200.000000,18168000.000000,19660800.000000,17290446.000000,0
2010-08-27,19329600.000000,20640000.000000,18230400.000000,18451200.000000,16226676.000000,0
2010-08-30,18465600.000000,19920000.000000,18460800.000000,19920000.000000,17518394.000000,0
2010-08-31,20347200.000000,21292800.000000,19540800.000000,21048000.000000,18510400.000000,0
2010-09-01,20020800.000000,20097600.000000,18412800.000000,19147200.000000,16838766.000000,0
2010-09-02,18748800.000000,19147200.000000,17899200.000000,17932800.000000,15770777.000000,0
2010-09-03,17131200.000000,17956800.000000,16641600.000000,16977600.000000,14930736.000000,0
2010-09-07,17145600.000000,18091200.000000,17044800.000000,17980800.000000,15812988.000000,0
2010-09-08,17755200.000000,18748800.000000,17726400.000000,18244800.000000,16045160.000000,1
2010-09-09,17553600.000000,18331200.000000,17505600.000000,18187200.000000,15994506.000000,0
2010-09-10,18201600.000000,19656000.000000,18105600.000000,18921600.000000,16640362.000000,1
